epoch,train_loss,val_f1,val_acc
1,1.2105234861373901,0.19585687382297554,0.416
2,0.7564518451690674,0.6711370925635861,0.66
3,0.9746596813201904,0.6060707737124019,0.612
4,0.553256630897522,0.5491925165127779,0.586
5,0.5608878135681152,0.47063337020564405,0.61
6,0.5260617733001709,0.6005148021670476,0.716
7,0.48107242584228516,0.6218172508988357,0.728
8,0.5040006041526794,0.6483371393254106,0.746
9,0.45952269434928894,0.6846222059213073,0.74
10,0.4334234297275543,0.6766392101110476,0.724
11,0.43145090341567993,0.6895101596066784,0.728
12,0.4229510426521301,0.6987705699283834,0.74
13,0.40136685967445374,0.7094017903023642,0.756
14,0.38274094462394714,0.722478394969882,0.776
15,0.3773058354854584,0.7436885640394687,0.796
16,0.38187581300735474,0.7437035542553548,0.796
17,0.37671226263046265,0.7534776560598156,0.8
18,0.3611041307449341,0.7831498675003729,0.816
19,0.35059404373168945,0.7907156812477779,0.818
20,0.34204331040382385,0.7932053004236788,0.814
21,0.33959531784057617,0.7901099329891426,0.81
22,0.3334602415561676,0.7906295476564789,0.812
23,0.32409507036209106,0.8044594775983782,0.826
24,0.31755271553993225,0.8190158809458928,0.84
25,0.3131009042263031,0.8292807644087139,0.852
26,0.3119020164012909,0.8405848502234045,0.86
27,0.3089836835861206,0.8562440965609079,0.87
28,0.30260369181632996,0.8546264034068912,0.868
29,0.2928876578807831,0.8579880523947288,0.868
30,0.29099515080451965,0.8579254931344921,0.868
31,0.2865959405899048,0.8563218390804598,0.866
32,0.2836666703224182,0.8654731706202293,0.874
33,0.27897006273269653,0.8700245326252284,0.878
34,0.27203771471977234,0.8729253351583992,0.88
35,0.26418551802635193,0.8745553270084399,0.882
36,0.2611168324947357,0.8745553270084399,0.882
37,0.25785398483276367,0.8758171564134857,0.882
38,0.2504037320613861,0.8786714470038285,0.884
39,0.24609515070915222,0.8806574521338498,0.886
40,0.24268920719623566,0.8790243027531163,0.884
41,0.23910771310329437,0.8834730073770164,0.888
42,0.2362426221370697,0.8834730073770164,0.888
43,0.23176738619804382,0.8867372843382441,0.892
44,0.2255798727273941,0.8855512865292816,0.892
45,0.22141394019126892,0.8911707433658137,0.896
46,0.21674463152885437,0.8924847015677838,0.898
47,0.2131563127040863,0.8941124538641537,0.9
48,0.20834700763225555,0.8941124538641537,0.9
49,0.20550724864006042,0.8960730211817168,0.902
50,0.198006734251976,0.8988396830565506,0.904
51,0.19501042366027832,0.9016148351186296,0.906
52,0.19193561375141144,0.9035662237351786,0.908
53,0.18572555482387543,0.9095592142355914,0.914
54,0.18215081095695496,0.9071263737621816,0.912
55,0.1781204789876938,0.9071263737621816,0.912
56,0.17430421710014343,0.9122845541609843,0.916
57,0.16741569340229034,0.9095592142355914,0.914
58,0.16663362085819244,0.9068170364964233,0.912
59,0.16073833405971527,0.9003241357032165,0.906
60,0.15693120658397675,0.9019732026597015,0.908
61,0.15064826607704163,0.9052610180865152,0.912
62,0.1493130922317505,0.9011853680413445,0.908
63,0.14385555684566498,0.9039244082099692,0.91
64,0.14019204676151276,0.9090496436074122,0.914
65,0.13659441471099854,0.9035835086178335,0.91
66,0.12938305735588074,0.8987588394289626,0.906
67,0.12756070494651794,0.89875050087807,0.906
68,0.12366244941949844,0.8992103333873791,0.906
69,0.1185668408870697,0.9038788592360021,0.91
70,0.11329841613769531,0.9058774812280608,0.912
71,0.11085273325443268,0.9058774812280608,0.912
72,0.10886712372303009,0.9068805969061723,0.912
73,0.10240261256694794,0.9001956544125219,0.906
74,0.10015300661325455,0.9001956544125219,0.906
75,0.09371042251586914,0.8998923472254249,0.906
76,0.0931544080376625,0.8998923472254249,0.906
77,0.0870717316865921,0.9018514875292368,0.908
78,0.08372295647859573,0.8991300688809813,0.906
79,0.08278738707304001,0.9018514875292368,0.908
80,0.07798939943313599,0.9051202563374189,0.912
81,0.07382924854755402,0.910967813948021,0.916
82,0.07018046826124191,0.9041768009559519,0.91
83,0.06781662255525589,0.905828900012209,0.912
84,0.06691179424524307,0.8987605447306062,0.906
85,0.062118638306856155,0.8913897561981186,0.9
86,0.06061309948563576,0.8957746496535332,0.904
87,0.0562199205160141,0.8987653746626355,0.906
88,0.05378979444503784,0.9007976129095993,0.908
89,0.052931953221559525,0.8961627792236176,0.904
90,0.04665113985538483,0.8944812642947882,0.902
91,0.04929794743657112,0.892822966905186,0.9
92,0.04391935467720032,0.8868708198034173,0.894
93,0.04334007948637009,0.8871534997958772,0.894
94,0.04186346009373665,0.888819046562609,0.896
95,0.03724338114261627,0.8914368545678811,0.898
96,0.03647108003497124,0.8904833153669905,0.898
97,0.03462871164083481,0.8895268021549012,0.898
98,0.03332960233092308,0.8895268021549012,0.898
99,0.030642777681350708,0.8921637594642732,0.9
100,0.030253304168581963,0.8868743443595631,0.896
